ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
217,7484140.0,WORLD_TIME_ZONE,US/Mountain,,US/Mountain,100.0,,2018.0
218,7484141.0,WORLD_TIME_ZONE,US/Pacific,,US/Pacific,110.0,,2018.0
219,7484142.0,WORLD_TIME_ZONE,US/Pacific-New,,US/Pacific-New,120.0,,2018.0
220,7484143.0,WORLD_TIME_ZONE,US/Samoa,,US/Samoa,130.0,,2018.0
221,7484144.0,WORLD_TIME_ZONE,Canada/Atlantic,,Canada/Atlantic,140.0,,2018.0
222,7484145.0,WORLD_TIME_ZONE,Canada/Central,,Canada/Central,150.0,,2018.0
223,7484146.0,WORLD_TIME_ZONE,Canada/East-Saskatchewan,,Canada/East-Saskatchewan,160.0,,2018.0
224,7484147.0,WORLD_TIME_ZONE,Canada/Eastern,,Canada/Eastern,170.0,,2018.0
225,7484148.0,WORLD_TIME_ZONE,Canada/Mountain,,Canada/Mountain,180.0,,2018.0
226,7484149.0,WORLD_TIME_ZONE,Canada/Newfoundland,,Canada/Newfoundland,190.0,,2018.0
227,7484150.0,WORLD_TIME_ZONE,Canada/Pacific,,Canada/Pacific,200.0,,2018.0
228,7484151.0,WORLD_TIME_ZONE,Canada/Saskatchewan,,Canada/Saskatchewan,210.0,,2018.0
229,7484152.0,WORLD_TIME_ZONE,Canada/Yukon,,Canada/Yukon,220.0,,2018.0
230,7484153.0,WORLD_TIME_ZONE,CST6CDT,,CST6CDT,2330.0,,2018.0
231,7484154.0,WORLD_TIME_ZONE,EST5EDT,,EST5EDT,2390.0,,2018.0
232,7484155.0,WORLD_TIME_ZONE,MST7MDT,,MST7MDT,3490.0,,2018.0
233,7484156.0,WORLD_TIME_ZONE,PST8PDT,,PST8PDT,3580.0,,2018.0
234,7484157.0,IRWIN_RESOURCE_TYPE,"Engine, Type 2",,"Engine, Type 2",12.0,,2018.0
235,7484158.0,IRWIN_RESOURCE_TYPE,"Engine, Type 3",,"Engine, Type 3",13.0,,2018.0
236,7484159.0,IRWIN_RESOURCE_TYPE,"Engine, Type 4",,"Engine, Type 4",14.0,,2018.0
237,7484160.0,IRWIN_RESOURCE_TYPE,"Engine, Type 5",,"Engine, Type 5",15.0,,2018.0
238,7484161.0,IRWIN_RESOURCE_TYPE,"Engine, Type 6",,"Engine, Type 6",16.0,,2018.0
239,7484162.0,IRWIN_RESOURCE_TYPE,"Engine, Type 7",,"Engine, Type 7",17.0,,2018.0
240,7484163.0,IRWIN_RESOURCE_TYPE,ASM,,ASM,18.0,,2018.0
241,7484164.0,IRWIN_RESOURCE_TYPE,Air Attack Platform,,Air Attack Platform,19.0,,2018.0
242,7484165.0,IRWIN_RESOURCE_TYPE,Lead Plane,,Lead Plane,20.0,,2018.0
243,7484166.0,IRWIN_RESOURCE_TYPE,Reconnaissance Aircraft,,Reconnaissance Aircraft,21.0,,2018.0
244,7484167.0,IRWIN_RESOURCE_TYPE,"Helicopter, Type 1",,"Helicopter, Type 1",22.0,,2018.0
245,7484168.0,IRWIN_RESOURCE_TYPE,"Helicopter, Type 2",,"Helicopter, Type 2",23.0,,2018.0
246,7484169.0,IRWIN_RESOURCE_TYPE,"Helicopter, Type 3",,"Helicopter, Type 3",24.0,,2018.0
247,7484170.0,IRWIN_RESOURCE_TYPE,Masticator,,Masticator,25.0,,2018.0
248,7484171.0,IRWIN_RESOURCE_TYPE,Individual Single Resource Personnel,,Individual Single Resource Personnel,26.0,,2018.0
249,7484172.0,IRWIN_RESOURCE_TYPE,Skidgine,,Skidgine,27.0,,2018.0
250,7484173.0,IRWIN_RESOURCE_TYPE,Support (All Types),,Support (All Types),28.0,,2018.0
251,7484174.0,IRWIN_RESOURCE_TYPE,Tactical (All Types),,Tactical (All Types),29.0,,2018.0
252,7484175.0,IRWIN_RESOURCE_TYPE,Track Vehicle,,Track Vehicle,30.0,,2018.0
253,7484176.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 1",,"Tractor Plow, Type 1",31.0,,2018.0
254,7484177.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 2",,"Tractor Plow, Type 2",32.0,,2018.0
255,7484178.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 3",,"Tractor Plow, Type 3",33.0,,2018.0
256,7484179.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 4",,"Tractor Plow, Type 4",34.0,,2018.0
257,7484180.0,IRWIN_RESOURCE_CATEGORY,Other,,Other,13.0,,2018.0
258,7484181.0,IRWIN_RESOURCE_TYPE,Aerial Apparatus,,Aerial Apparatus,40.0,,2018.0
259,7484182.0,IRWIN_RESOURCE_TYPE,Air Supply Truck,,Air Supply Truck,41.0,,2018.0
260,7484183.0,IRWIN_RESOURCE_TYPE,Ambulance,,Ambulance,42.0,,2018.0
261,7484184.0,IRWIN_RESOURCE_TYPE,Boat,,Boat,43.0,,2018.0
262,7484185.0,IRWIN_RESOURCE_TYPE,"Canine, Bomb Squad",,"Canine, Bomb Squad",44.0,,2018.0
263,7484186.0,IRWIN_RESOURCE_TYPE,"Canine, Narcotics",,"Canine, Narcotics",45.0,,2018.0
264,7484187.0,IRWIN_RESOURCE_TYPE,"Canine, Police",,"Canine, Police",46.0,,2018.0
265,7484188.0,IRWIN_RESOURCE_TYPE,"Canine, SAR",,"Canine, SAR",47.0,,2018.0
266,7484189.0,IRWIN_RESOURCE_TYPE,Cave Rescue Team,,Cave Rescue Team,48.0,,2018.0
267,7484190.0,IRWIN_RESOURCE_TYPE,Crash Rescue (Aircraft),,Crash Rescue (Aircraft),49.0,,2018.0
268,7483834.0,RESOURCE_TYPE,"Crew, Camp",CRC,"Crew, Camp",35.0,,2018.0
269,7483835.0,SIT209_REPORT_RESOURCE_GROUP,CREWS-AUTOSIT,,CREWS-AUTOSIT,11.0,,2018.0
270,7483836.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 5 Incident,,Typically one or two resources and up to six personnel assigned.,10.0,,2018.0
271,7483837.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 4 Incident,,Several resources required.  Control typically achieved in one operational period.,20.0,,2018.0
272,7483838.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 3 Incident,,Incident may extend into several operational periods. A Type 3 Team may be assigned.  A significant number of resources may be assigned.,30.0,,2018.0
273,7483839.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 2 Incident,,Exceeds the local control capability.  May require non-local resources to manage incident.  Most Command and General Staff positions are filled.  A written IAP is required.  Operations personnel usually do not exceed 200 per operational period.,40.0,,2018.0
274,7483840.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 1 Incident,,"Highest complexity incident, requiring national resources to manage incident.  All Command and General Staff positions activated.  Operations personnel exceeds 500 per operational period.  High impact to local jurisdiction.",50.0,,2018.0
275,7483841.0,IRWIN_RESOURCE_TYPE,"Crew, Camp",,"Crew, Camp",49.0,,2018.0
276,7483842.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 5",,"Tractor Plow, Type 5",35.0,,2018.0
277,7483843.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 6",,"Tractor Plow, Type 6",36.0,,2018.0
278,7483844.0,RESOURCE_TYPE,"Tractor Plow, Type 5",TPL5,"Tractor Plow, Type 5",310.0,,2018.0
279,7483845.0,RESOURCE_TYPE,"Tractor Plow, Type 6",TPL6,"Tractor Plow, Type 6",320.0,,2018.0
280,7483846.0,NORTH_AMERICAN_TIME_ZONE,Canada/Atlantic,AST/ADT,Canada/Atlantic (AST/ADT),12.0,,2018.0
281,7483847.0,NORTH_AMERICAN_TIME_ZONE,Canada/Eastern,EST/EDT,Canada/Eastern (EST/EDT),13.0,,2018.0
282,7483848.0,NORTH_AMERICAN_TIME_ZONE,Canada/Central,CST/CDT,Canada/Central (CST/CDT),14.0,,2018.0
283,7483849.0,MATERIAL_INVOLVEMENT_TYPE,Short Grass (1 foot),SG,,1.0,,2018.0
284,7483850.0,MATERIAL_INVOLVEMENT_TYPE,Timber (Grass and Understory),T/GU,,2.0,,2018.0
285,7483851.0,MATERIAL_INVOLVEMENT_TYPE,Tall Grass (2.5 feet),TG,,3.0,,2018.0
286,7483852.0,MATERIAL_INVOLVEMENT_TYPE,Chaparral (6 feet),CH,,4.0,,2018.0
287,7483853.0,MATERIAL_INVOLVEMENT_TYPE,Brush (2 feet),BR,,5.0,,2018.0
288,7483854.0,MATERIAL_INVOLVEMENT_TYPE,"Dormant Brush, Hardwood Slash",DB/HS,,6.0,,2018.0
289,7483855.0,MATERIAL_INVOLVEMENT_TYPE,Southern Rough,SR,,7.0,,2018.0
290,7483856.0,MATERIAL_INVOLVEMENT_TYPE,Closed Timber Litter,CTL,,8.0,,2018.0
291,7483857.0,MATERIAL_INVOLVEMENT_TYPE,Hardwood Litter,HL,,9.0,,2018.0
292,7483858.0,MATERIAL_INVOLVEMENT_TYPE,Timber (Litter and Understory),T/LU,,10.0,,2018.0
293,7483859.0,MATERIAL_INVOLVEMENT_TYPE,Light Logging Slash,LLS,,11.0,,2018.0
294,7483860.0,MATERIAL_INVOLVEMENT_TYPE,Medium Logging Slash,MLS,,12.0,,2018.0
295,7483861.0,MATERIAL_INVOLVEMENT_TYPE,Heavy Logging Slash,HLS,,13.0,,2018.0
296,7483862.0,INCIDENT_SIZE_UOM,Acres,ACRES,,1.0,,2018.0
297,7483863.0,INCIDENT_SIZE_UOM,Hectares,HECTARES,,2.0,,2018.0
298,7483864.0,INCIDENT_SIZE_UOM,Square Kilometers,SQ KM,,3.0,,2018.0
299,7483865.0,INCIDENT_SIZE_UOM,Square Miles,SQ MILES,,4.0,,2018.0
300,7483866.0,INCIDENT_SIZE_UOM,City Blocks,CB,,5.0,,2018.0
301,7483867.0,INCIDENT_SIZE_UOM,Multiple City Blocks,MCB,,6.0,,2018.0
302,7483868.0,NORTH_AMERICAN_TIME_ZONE,US/Eastern,EST/EDT,US/Eastern (EST/EDT),1.0,,2018.0
303,7483869.0,NORTH_AMERICAN_TIME_ZONE,Canada/Saskatchewan,CST,Canada/Saskatchewan (CST),16.0,,2018.0
304,7483870.0,NORTH_AMERICAN_TIME_ZONE,Canada/Mountain,MST/MDT,Canada/Mountain (MST/MDT),17.0,,2018.0
305,7483871.0,NORTH_AMERICAN_TIME_ZONE,Canada/Pacific,PST/PDT,Canada/Pacific (PST/PDT),18.0,,2018.0
306,7483872.0,NORTH_AMERICAN_TIME_ZONE,Canada/Yukon,PST/PDT,Canada/Yukon (PST/PDT),19.0,,2018.0
307,7483873.0,NORTH_AMERICAN_TIME_ZONE,Mexico/General,CST/CDT,Mexico/General (CST/CDT),20.0,,2018.0
308,7483874.0,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaSur,MST/MDT,Mexico/BajaSur (MST/MDT),21.0,,2018.0
309,7483875.0,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaNorte,PST/PDT,Mexico/BajaNorte (PST/PDT),22.0,,2018.0
310,7483876.0,IRWIN_RESOURCE_KIND,Aircraft,,Aircraft,1.0,,2018.0
311,7483877.0,CONTAINED_COMPLETE_UOM,Percent,PCT,,1.0,,2018.0
312,7483878.0,CONTAINED_COMPLETE_UOM,PA,MMA,,2.0,,2018.0
313,7483879.0,RESOURCE_TYPE,Air Supply Truck,ASTR,Air Supply Truck,1010.0,,2018.0
314,7483880.0,IRWIN_RESOURCE_KIND,Equipment,,Equipment,2.0,,2018.0
315,7483881.0,IRWIN_RESOURCE_KIND,Crews,,Crews,3.0,,2018.0
316,7483882.0,IRWIN_RESOURCE_KIND,Overhead,,Overhead,4.0,,2018.0
317,7483883.0,IRWIN_RESOURCE_CATEGORY,Airtanker,,Airtanker,1.0,,2018.0
318,7483884.0,RESOURCE_TYPE,Hazardous Materials Unit,HAZU,Hazardous Materials Unit,1130.0,,2018.0
319,7483885.0,RESOURCE_TYPE,"Quint, Combination",QUINT,"Quint, Combination",1200.0,,2018.0
320,7483886.0,RESOURCE_TYPE,Medic Squad,MSQD,Medic Squad,1170.0,,2018.0
321,7483887.0,IRWIN_RESOURCE_CATEGORY,Boat,,Boat,2.0,,2018.0
322,7483888.0,IRWIN_RESOURCE_CATEGORY,Handcrew,,Handcrew,3.0,,2018.0
323,7483889.0,RESOURCE_TYPE,"Canine, Bomb Squad",K9BS,"Canine, Bomb Squad",1070.0,,2018.0
324,7483890.0,IRWIN_RESOURCE_CATEGORY,Dozer,,Dozer,4.0,,2018.0
325,7483891.0,RESOURCE_TYPE,Technical Rescue Team,TRT,Technical Rescue Team,1240.0,,2018.0
326,7483892.0,RESOURCE_TYPE,Alpine Rescue Team,MSAR,Alpine Rescue Team,1190.0,,2018.0
327,7483893.0,IRWIN_RESOURCE_CATEGORY,Engine,,Engine,5.0,,2018.0
328,7483894.0,IRWIN_RESOURCE_CATEGORY,Fixed Wing,,Fixed Wing,6.0,,2018.0
329,7483895.0,RESOURCE_TYPE,Cave Rescue Team,CRT,Cave Rescue Team,1110.0,,2018.0
330,7483896.0,RESOURCE_TYPE,Mine Rescue Team,MRT,Mine Rescue Team,1180.0,,2018.0
331,7483897.0,RESOURCE_TYPE,Underwater SAR,USRT,Underwater SAR,1280.0,,2018.0
332,7483898.0,IRWIN_RESOURCE_CATEGORY,Helicopter,,Helicopter,7.0,,2018.0
333,7483899.0,IRWIN_RESOURCE_CATEGORY,Heavy,,Heavy,8.0,,2018.0
334,7483900.0,RESOURCE_TYPE,Salvage Unit,SALU,Salvage Unit,1210.0,,2018.0
335,7483901.0,IRWIN_RESOURCE_CATEGORY,Single Resource,,Single Resource,9.0,,2018.0
336,7483902.0,IRWIN_RESOURCE_CATEGORY,Other Equipment,,Other Equipment,10.0,,2018.0
337,7483903.0,IRWIN_RESOURCE_CATEGORY,Watertender,,Watertender,11.0,,2018.0
338,7483904.0,IRWIN_RESOURCE_CATEGORY,Tractor Plow,,Tractor Plow,12.0,,2018.0
339,7483905.0,IRWIN_RESOURCE_TYPE,SEAT,,SEAT,1.0,,2018.0
340,7483906.0,RESOURCE_TYPE,Track Vehicle,TRVH,Track Vehicle,1250.0,,2018.0
341,7483907.0,RESOURCE_TYPE,"Tractor Plow, Type 1",TPL1,"Tractor Plow, Type 1",270.0,,2018.0
342,7483908.0,RESOURCE_TYPE,"Tractor Plow, Type 2",TPL2,"Tractor Plow, Type 2",280.0,,2018.0
343,7483909.0,RESOURCE_TYPE,"Tractor Plow, Type 3",TPL3,"Tractor Plow, Type 3",290.0,,2018.0
344,7483910.0,RESOURCE_TYPE,"Tractor Plow, Type 4",TPL4,"Tractor Plow, Type 4",300.0,,2018.0
345,7483911.0,CASUALTY_ILLNESS_TYPE,Other,OTH,,11.0,,2018.0
346,7483912.0,TIME_DURATION,Hours,HRS,,1.0,,2018.0
347,7483913.0,TIME_DURATION,Days,DAYS,,1.0,,2018.0
348,7483914.0,TIME_DURATION,Months,MONTHS,,2.0,,2018.0
349,7483915.0,TIME_DURATION,Quarters,QTRS,,3.0,,2018.0
350,7483916.0,TIME_DURATION,Years,YRS,,4.0,,2018.0
351,7483917.0,UTM_ZONE,UTM Zone 11,11,Zone Range: 120W - 114W      Central Meridian: 117W,11.0,,2018.0
352,7483918.0,UTM_ZONE,UTM Zone 12,12,Zone Range: 114W - 108W      Central Meridian: 111W,12.0,,2018.0
353,7483919.0,UTM_ZONE,UTM Zone 13,13,Zone Range: 108W - 102W      Central Meridian: 105W,13.0,,2018.0
354,7483920.0,UTM_ZONE,UTM Zone 14,14,Zone Range: 102W -  96W      Central Meridian:  99W,14.0,,2018.0
355,7483921.0,UTM_ZONE,UTM Zone 15,15,Zone Range:  96W -  90W      Central Meridian:  93W,15.0,,2018.0
356,7483922.0,UTM_ZONE,UTM Zone 16,16,Zone Range:  90W -  84W      Central Meridian:  87W,16.0,,2018.0
357,7483923.0,UTM_ZONE,UTM Zone 17,17,Zone Range:  84W -  78W      Central Meridian:  81W,17.0,,2018.0
358,7484191.0,IRWIN_RESOURCE_TYPE,Decontamination Unit,,Decontamination Unit,50.0,,2018.0
359,7484192.0,IRWIN_RESOURCE_TYPE,Food Dispensing Unit,,Food Dispensing Unit,51.0,,2018.0
360,7484193.0,IRWIN_RESOURCE_TYPE,GIS Unit,,GIS Unit,52.0,,2018.0
361,7484194.0,IRWIN_RESOURCE_TYPE,Hazardous Materials Unit,,Hazardous Materials Unit,53.0,,2018.0
362,7484195.0,IRWIN_RESOURCE_TYPE,Heavy Rescue Unit,,Heavy Rescue Unit,54.0,,2018.0
363,7484196.0,IRWIN_RESOURCE_TYPE,Illumination Unit (Lighting),,Illumination Unit (Lighting),55.0,,2018.0
364,7484197.0,IRWIN_RESOURCE_TYPE,"Laundry, Mobile",,"Laundry, Mobile",56.0,,2018.0
365,7484198.0,IRWIN_RESOURCE_TYPE,Mass Casualty Incident Trailer,,Mass Casualty Incident Trailer,57.0,,2018.0
366,7484199.0,IRWIN_RESOURCE_TYPE,Medic Squad,,Medic Squad,58.0,,2018.0
367,7484200.0,IRWIN_RESOURCE_TYPE,Mine Rescue Team,,Mine Rescue Team,59.0,,2018.0
368,7484201.0,IRWIN_RESOURCE_TYPE,Mobile Communications Center,,Mobile Communications Center,60.0,,2018.0
369,7484202.0,IRWIN_RESOURCE_TYPE,Mobile Coroner Unit,,Mobile Coroner Unit,61.0,,2018.0
370,7484203.0,RESOURCE_TYPE,"Engine, Type 7",ENG7,"Engine, Type 7",121.0,,2018.0
371,7484204.0,RESOURCE_TYPE,"Airtanker, VLAT",VLAT,"Airtanker, VLAT",1060.0,,2018.0
372,7484205.0,RESOURCE_TYPE,"Airtanker, Type 1",AT1,"Airtanker, Type 1",1030.0,,2018.0
373,7484206.0,RESOURCE_TYPE,"Airtanker, Type 2",AT2,"Airtanker, Type 2",1040.0,,2018.0
374,7484207.0,RESOURCE_TYPE,"Airtanker, Type 3",AT3,"Airtanker, Type 3",1050.0,,2018.0
375,7484208.0,RESOURCE_TYPE,Single Engine Airtanker,SEAT,Single Engine Airtanker,1020.0,,2018.0
376,7484209.0,RESOURCE_TYPE,"Boat, Fire",FB,"Boat, Fire",201.0,,2018.0
377,7484210.0,RESOURCE_TYPE,"Boat, Transportation",TB,"Boat, Transportation",202.0,,2018.0
378,7484211.0,RESOURCE_TYPE,"Canine, Narcotics",K9N,"Canine, Narcotics",1080.0,,2018.0
379,7484212.0,RESOURCE_TYPE,"Canine, Police",K9PU,"Canine, Police",1090.0,,2018.0
380,7484213.0,RESOURCE_TYPE,Canine Search Team,K9SAR,Canine Search Team,1100.0,,2018.0
381,7484214.0,RESOURCE_TYPE,Crash Rescue (Aircraft),CFR,Crash Rescue (Aircraft),1120.0,,2018.0
382,7484215.0,RESOURCE_TYPE,"Fixed Wing, Air Tactical",FWAT,"Fixed Wing, Air Tactical",162.0,,2018.0
383,7484216.0,RESOURCE_TYPE,"Fixed Wing, ASM",ASM,"Fixed Wing, ASM",161.0,,2018.0
384,7484217.0,RESOURCE_TYPE,"Fixed Wing, LEAD",LEAD,"Fixed Wing, LEAD",163.0,,2018.0
385,7484218.0,RESOURCE_TYPE,Illumination Unit (Lighting),ILAU,Illumination Unit (Lighting),1140.0,,2018.0
