x,y,lat,lon,TMP:2 m,SPFH:2 m,UGRD:10 m,VGRD:10 m,LTNG,PRATE,PRES:surface,on_fire
0,0,38.98117179754477,-111.48839567515334,289.4481379162524,0.0053785720359610266,2.7400593924460184,-3.2505972248058472,0.0,0.0,72530.94208168787,0.0
0,1,38.9898697498483,-111.48839567515334,287.71853913830364,0.005356075480339352,3.5401418267127673,-2.380969588297021,0.0,0.0,70904.05871921644,0.0
0,2,38.99856770215184,-111.48839567515334,286.8122455495196,0.005356181812438071,4.11982048009632,-1.7481169771302016,0.0,0.0,70177.37535749089,0.0
0,3,39.007265654455374,-111.48839567515334,287.2226821512357,0.00539865486533576,4.051481301983718,-1.423314088154573,0.0,0.0,70871.94040411212,0.0
1,0,38.98117179754477,-111.47724979132664,289.88118588347857,0.005360223381289836,3.515578171780839,-3.246987171359527,0.0,0.0,72601.21346227682,0.0
1,1,38.9898697498483,-111.47724979132664,287.1858027436576,0.0053269871550087645,4.603313077227787,-1.8636024494331025,0.0,0.0,70172.3564099334,0.0
1,2,38.99856770215184,-111.47724979132664,286.71017373053155,0.005330291324535733,4.767162614806094,-1.6090074267296361,0.0,0.0,69767.20576062752,0.0
1,3,39.007265654455374,-111.47724979132664,287.87286704070664,0.005350176179660806,5.325213050451704,-0.9491547461436161,0.0,0.0,70853.89993875464,0.0
2,0,38.98117179754477,-111.46610390749996,290.47490307855026,0.005310710463670857,4.916888019616687,-2.905102458945617,0.0,0.0,72790.64241376695,0.0
2,1,38.9898697498483,-111.46610390749996,288.68522171414634,0.005293641252084875,5.232897938859565,-2.0850478870137414,0.0,0.0,71288.316383888,0.0
2,2,38.99856770215184,-111.46610390749996,287.940164278371,0.005297355274633154,5.327896302470174,-1.6020506961990597,0.0,0.0,70685.69896007792,0.0
2,3,39.007265654455374,-111.46610390749996,288.48559402318017,0.005313297082895345,5.69369180696816,-0.8667289669901691,0.0,0.0,71294.34986343123,0.0
3,0,38.98117179754477,-111.45495802367327,290.84492506013424,0.005286937884857474,5.606942002482202,-2.6199722902179468,0.0,0.0,73102.76932500029,0.0
3,1,38.9898697498483,-111.45495802367327,289.8110724089899,0.005235673571349091,6.0348778579014075,-2.0119064545373373,0.0,0.0,72085.63055169793,0.0
3,2,38.99856770215184,-111.45495802367327,289.4227912054391,0.0051896433341595645,6.601590233161565,-1.3674673339990948,0.0,0.0,71667.61937723307,0.0
3,3,39.007265654455374,-111.45495802367327,289.2691429605448,0.00523854950548322,6.341510413141025,-0.932127891288044,0.0,0.0,71737.47132089044,0.0
4,0,38.98117179754477,-111.44381213984657,291.8161272748048,0.005281918522390518,6.077181252118781,-2.556557668402798,0.0,0.0,74034.29212734885,0.0
4,1,38.9898697498483,-111.44381213984657,290.13055012549944,0.005184272356797062,6.628506939300432,-1.7283980667929533,0.0,0.0,72241.47392848766,0.0
4,2,38.99856770215184,-111.44381213984657,289.62098213797594,0.005140721931513298,7.024235129995649,-1.3715489980574762,0.0,0.0,71659.37092461532,0.0
4,3,39.007265654455374,-111.44381213984657,289.7465114619002,0.005168840345264125,6.740053228068583,-1.2102737753910833,0.0,0.0,71903.8998536801,0.0
