INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
9063402,9063097,2018-06-30 09:00:00,2018-06-30 19:00:00,U,1678.0,97.0,7483838.0,7483851.0,1678,7483977,2018-07-01 12:00:00,,100,7483853,,7484238,,,
9063422,9063097,2018-06-24 20:00:00,2018-06-25 07:45:00,U,1300.0,30.0,7483838.0,7483851.0,2000,,2018-07-01 12:00:00,,100,7483853,,7484237,7484250,7484245,
9063452,9063097,2018-06-25 08:00:00,2018-06-25 15:30:00,U,1350.0,50.0,7483838.0,7483851.0,2000,,2018-07-01 12:00:00,,100,7483853,,7484237,7484250,7484244,7484245
9061463,9059104,2018-08-02 20:00:00,2018-08-03 20:00:00,U,8432.0,25.0,7483840.0,7483858.0,,,2018-08-31 12:00:00,,100,7483850,7483852,7484236,7484247,7484251,7484241
9061805,9059104,2018-08-13 20:00:00,2018-08-14 20:00:00,U,13756.0,55.0,7483840.0,7483858.0,,,2018-08-31 12:00:00,,100,7483850,7483852,7484236,7484247,7484251,7484241
9061860,9061859,2018-07-18 14:00:00,2018-07-19 15:00:00,U,250.0,54.0,7483838.0,7483850.0,300,7483977,2018-07-31 12:00:00,,100,7483853,,,,,
9061884,9061859,2018-07-23 19:00:00,2018-07-26 15:45:00,F,250.0,97.0,7483838.0,7483850.0,250,7483977,2018-07-31 12:00:00,,100,7483853,7483858,,,,
9063482,9063097,2018-06-24 15:00:00,2018-06-24 20:00:00,I,1000.0,20.0,7483838.0,7483851.0,2000,,2018-07-01 12:00:00,,100,7483853,,7484235,7484251,,
9063513,9063512,2018-07-30 17:30:00,2018-07-31 18:00:00,F,3440.0,100.0,7483837.0,7483851.0,3440,7483977,2018-08-05 12:00:00,,100,7483853,7483852,7484238,7484254,7484250,
9061908,9061859,2018-07-21 19:00:00,2018-07-23 19:00:00,U,250.0,70.0,7483838.0,7483850.0,250,7483977,2018-07-31 12:00:00,,100,7483853,7483858,,,,
9061933,9061859,2018-07-20 15:00:00,2018-07-21 19:00:00,U,250.0,61.0,7483838.0,7483850.0,300,7483977,2018-07-31 12:00:00,,100,7483853,7483858,7484237,,,
