lat,lon,TMP:2 m,SPFH:2 m,UGRD:10 m,VGRD:10 m,LTNG,PRATE,PRES:surface,x,y,sqdist
30.989455553204476,-92.66571935112808,276.5861,0.00457,-0.6478605,-0.7234268,0.0,0.0,101510.0,-2.146501659466013,-3.9879660995993755,53.04921402190577
30.988046410648426,-92.63455346803192,276.5861,0.00457,-0.7103605,-0.6609268,0.0,0.0,101450.0,0.9349323171043261,-4.1497625388547,38.95394845344937
30.986628225770406,-92.60338870168249,276.4611,0.00455,-0.33536053,-0.41092682,0.0,0.0,101450.0,4.016255878665258,-4.312597209118743,43.914171292825955
31.01617412812146,-92.66408029925896,276.6486,0.00457,-0.5853605,-0.7234268,0.0,0.0,101380.0,-1.9844452818788771,-0.9201641479896709,24.403162855491082
31.014764425846312,-92.63290388873463,276.5861,0.00458,-0.33536053,-0.47342682,0.0,0.0,101360.0,1.098029562834363,-1.0820248536718435,10.312427868171719
31.0133456776614,-92.6017285960911,276.8986,0.00465,-0.14786053,-0.5359268,0.0,0.0,101560.0,4.180393880409109,-1.2449242023102214,15.283650552464117
31.044295449129805,-92.69362819356508,276.4611,0.00456,-0.39786053,-0.7234268,0.0,0.0,101460.0,-4.905905430146998,2.308699806741946,47.7868253808163
31.0428942370989,-92.66244013660321,276.7736,0.00464,-0.33536053,-0.6609268,0.0,0.0,101330.0,-1.8222790785684349,2.1478139430164673,14.631666316212039
31.041483974999817,-92.6312531915562,276.7111,0.00464,-0.27286053,-0.34842682,0.0,0.0,101490.0,1.2612373357366162,1.985888958870156,0.5459693955913012
31.040064663402514,-92.60006736552566,277.0236,0.00466,-0.46036053,-0.7234268,0.0,0.0,101400.0,4.344643110616719,1.8229249197446873,5.528706900209869
31.071017643283827,-92.6919974617486,276.7736,0.00464,-0.5228605,-0.5984268,0.0,0.0,101280.0,-4.744671673013863,5.376917315786252,56.89416653441265
31.06961587491368,-92.66079886203238,276.7736,0.00465,-0.14786053,-0.41092682,0.0,0.0,101240.0,-1.6600029379619998,5.215967573705897,23.73806894101827
31.068205052885936,-92.62960137536112,276.7736,0.00464,-0.46036053,-0.5359268,0.0,0.0,101510.0,1.424555748080679,5.053978299070803,9.65791953826238
31.066785177770882,-92.59840500884349,277.1486,0.00465,-0.8353605,-0.5984268,0.0,0.0,101270.0,4.5090036822658295,4.890949557360581,14.65268882082683
