INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
11976718,11976592,12/6/2020 8:00:00 PM,12/7/2020 7:30:00 AM,U,1087.000000,40,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,99,9429766,,9430150,9430158,9430166,
11976780,11976592,12/7/2020 8:00:00 AM,12/7/2020 7:00:00 PM,U,1087.000000,50,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,99,9429766,,9430150,9430166,9430162,
11976901,11976592,12/7/2020 8:00:00 PM,12/8/2020 7:30:00 AM,U,1087.000000,50,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,9430166,9430162,
11976803,11976592,12/8/2020 8:00:00 AM,12/8/2020 6:45:00 PM,U,1087.000000,80,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,9430166,9430162,
11976672,11976592,12/8/2020 8:00:00 PM,12/9/2020 7:00:00 AM,U,1087.000000,80,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,9430158,9430166,
11976756,11976592,12/9/2020 8:00:00 AM,12/9/2020 7:00:00 PM,U,1087.000000,90,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,,,
11976920,11976592,12/9/2020 8:00:00 PM,12/10/2020 6:30:00 AM,U,1087.000000,90,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,9430158,9430166,
11976860,11976592,12/10/2020 8:00:00 AM,12/10/2020 8:00:00 PM,U,1087.000000,100,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,,,
11976881,11976592,12/10/2020 8:00:00 PM,12/10/2020 8:45:00 PM,U,1087.000000,95,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,,,
11976633,11976592,12/10/2020 9:00:00 PM,12/11/2020 7:00:00 AM,U,1087.000000,95,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,,,
11976653,11976592,12/11/2020 8:00:00 AM,12/11/2020 8:00:00 PM,F,1087.000000,95,9429751,9429764,1087,9429890,12/17/2020 12:00:00 PM,,100,9429766,,9430150,,,
11977182,11977181,11/18/2020 1:00:00 PM,11/18/2020 7:00:00 PM,I,5000.000000,75,9429751,9429762,10000,9429890,11/20/2020 12:00:00 PM,,100,,,9430147,9430154,,
11977208,11977181,11/18/2020 7:00:00 PM,11/19/2020 4:30:00 PM,U,3000.000000,95,9429751,9429762,3000,9429890,11/20/2020 12:00:00 PM,,100,,,9430150,,,
11977197,11977181,11/19/2020 4:30:00 PM,11/20/2020 4:00:00 PM,U,3000.000000,95,9429751,9429762,3000,9429890,11/21/2020 12:00:00 PM,,100,,,9430149,,,
11977219,11977181,11/20/2020 4:00:00 PM,11/22/2020 5:00:00 PM,F,3000.000000,100,9429750,9429762,3000,9429890,11/21/2020 12:00:00 PM,,100,,,9430150,,,
11977406,11977405,11/18/2020 7:00:00 AM,11/18/2020 1:00:00 PM,F,185.000000,100,9429750,9429770,185,9429890,11/20/2020 12:00:00 PM,,100,,,9430150,9430166,,
11977443,11977427,11/14/2020 1:00:00 PM,11/14/2020 6:00:00 PM,I,3000.000000,0,9429751,9429762,7000,9429890,11/17/2020 12:00:00 PM,,100,9429764,9429765,9430147,,,
11977469,11977427,11/15/2020 7:00:00 AM,11/15/2020 7:00:00 PM,U,5000.000000,75,9429751,9429762,5000,9429890,11/18/2020 12:00:00 PM,,100,9429764,9429765,9430148,,,
11977428,11977427,11/15/2020 7:00:00 PM,11/17/2020 3:00:00 PM,U,5000.000000,90,9429750,9429762,5000,9429890,11/20/2020 12:00:00 PM,,100,9429764,9429765,9430150,,,
11977459,11977427,11/17/2020 3:00:00 PM,11/19/2020 5:00:00 PM,F,4945.000000,100,9429750,9429762,4945,9429890,11/20/2020 12:00:00 PM,,100,9429764,9429765,9430150,,,
11977502,11977501,11/15/2020 12:26:00 PM,11/16/2020 5:05:00 PM,F,222.000000,100,9429749,9429763,,,11/16/2020 12:00:00 PM,,100,,,9430150,,,
11977606,11977605,11/19/2020 1:30:00 PM,11/20/2020 1:15:00 PM,I,985.000000,60,9429750,9429762,985,9429890,11/27/2020 12:00:00 PM,,100,9429764,,9430150,,,
11977617,11977605,11/20/2020 1:30:00 PM,11/21/2020 1:30:00 PM,F,985.000000,100,9429750,9429762,985,9429890,11/21/2020 12:00:00 PM,,100,9429764,,9430150,,,
11977648,11977635,11/19/2020 2:30:00 PM,11/19/2020 7:00:00 PM,I,115.000000,0,9429750,9429771,,,11/21/2020 12:00:00 PM,,100,,,9430149,9430155,,
11977661,11977635,11/19/2020 7:00:00 PM,11/20/2020 5:00:00 PM,U,328.000000,48,9429750,9429770,,,11/22/2020 12:00:00 PM,,100,9429764,,9430149,9430166,,
11977636,11977635,11/20/2020 5:00:00 PM,11/22/2020 9:00:00 AM,F,328.000000,100,9429750,9429770,,,11/22/2020 12:00:00 PM,,100,9429764,,9430150,,,
11978032,11978031,11/5/2020 4:30:00 PM,11/6/2020 5:00:00 PM,I,4500.000000,0,9429750,9429766,,,11/8/2020 12:00:00 PM,,100,9429762,9429764,9430148,9430154,9430157,9430158
11978050,11978031,11/6/2020 5:30:00 PM,11/9/2020 10:00:00 AM,U,5147.000000,99,9429750,9429766,,,11/8/2020 12:00:00 PM,,100,9429762,9429764,9430150,9430166,,
11978076,11978031,11/9/2020 11:00:00 AM,11/13/2020 10:00:00 AM,U,5147.000000,99,9429750,9429766,,,11/8/2020 12:00:00 PM,,100,9429762,9429764,9430150,9430166,,
11978066,11978031,11/13/2020 10:00:00 AM,11/16/2020 9:00:00 AM,F,5147.000000,100,9429750,9429766,,,11/8/2020 12:00:00 PM,,100,9429762,9429764,9430150,,,
11978117,11978116,11/19/2020 2:30:00 PM,11/20/2020 2:30:00 PM,F,100.000000,100,9429749,9429772,,,10/9/2020 12:00:00 PM,,100,,,9430150,,,
11978139,11978126,11/19/2020 2:00:00 PM,11/21/2020 1:00:00 PM,I,300.000000,75,9429749,9429770,400,9429890,11/22/2020 12:00:00 PM,,100,,,9430148,9430154,9430155,9430156
11978127,11978126,11/21/2020 3:00:00 PM,11/21/2020 8:00:00 PM,F,304.000000,100,9429749,9429770,304,9429890,11/21/2020 12:00:00 PM,,100,,,9430150,9430166,,
11978151,11978150,11/20/2020 1:15:00 PM,11/21/2020 3:30:00 PM,I,424.000000,100,9429749,9429770,450,9429890,11/22/2020 12:00:00 PM,,100,,,9430149,9430155,9430157,9430158
11978162,11978150,11/22/2020 7:00:00 AM,11/22/2020 11:30:00 AM,F,424.000000,100,9429749,9429770,424,9429890,11/22/2020 12:00:00 PM,,100,,,9430150,9430166,,
11978303,11978302,11/5/2020 3:00:00 PM,11/6/2020 4:00:00 PM,F,524.000000,99,9429750,9429762,,,11/6/2020 12:00:00 PM,,100,9429766,,9430150,9430166,,
11978400,11978390,11/18/2020 11:00:00 AM,11/18/2020 5:15:00 PM,I,400.000000,25,9429750,9429764,400,9429890,11/20/2020 12:00:00 PM,,100,9429771,9429766,9430147,9430154,9430155,9430156
11978391,11978390,11/18/2020 6:00:00 PM,11/19/2020 2:00:00 PM,U,400.000000,80,9429750,9429764,400,9429890,11/20/2020 12:00:00 PM,,100,9429771,9429766,9430150,9430166,,
11978414,11978390,11/19/2020 1:00:00 PM,11/20/2020 1:00:00 PM,F,400.000000,100,9429750,9429764,400,9429890,11/20/2020 12:00:00 PM,,100,9429771,9429766,9430150,9430166,,
11978710,11978709,11/16/2020 2:30:00 PM,11/16/2020 4:00:00 PM,I,1.000000,100,9429749,9429768,,,11/16/2020 12:00:00 PM,,100,9429766,,9430150,9430158,,
11978721,11978709,11/16/2020 2:45:00 PM,11/16/2020 4:15:00 PM,F,1.000000,100,9429749,9429768,,,11/16/2020 12:00:00 PM,,100,9429766,,9430150,9430158,,
11978744,11978732,11/17/2020 11:30:00 AM,11/17/2020 11:45:00 AM,I,4.000000,100,9429749,9429763,,,11/17/2020 12:00:00 PM,,100,9429770,,9430150,9430158,,
11978733,11978732,11/17/2020 11:45:00 AM,11/17/2020 3:45:00 PM,F,4.000000,100,9429749,9429763,,,11/17/2020 12:00:00 PM,,100,9429770,,9430150,9430158,,
11978778,11978755,11/17/2020 3:30:00 PM,11/17/2020 9:00:00 PM,I,1200.000000,5,9429751,9429762,,,11/20/2020 12:00:00 PM,,100,9429766,,9430147,9430154,9430155,9430163
11978756,11978755,11/18/2020 8:00:00 AM,11/18/2020 7:30:00 PM,U,512.000000,75,9429751,9429762,,,11/20/2020 12:00:00 PM,,100,9429766,,9430150,9430166,9430158,
11978804,11978755,11/19/2020 8:00:00 AM,11/19/2020 7:45:00 PM,U,512.000000,95,9429751,9429762,,,11/20/2020 12:00:00 PM,,100,9429766,,9430150,9430158,9430166,
11978823,11978755,11/20/2020 8:00:00 AM,11/20/2020 6:45:00 PM,F,512.000000,100,9429751,9429762,,,11/20/2020 12:00:00 PM,,100,9429766,,9430150,,,
11978938,11978937,11/22/2020 1:15:00 PM,11/22/2020 3:30:00 PM,I,250.000000,49,9429750,9429768,,,,,100,,,9430150,9430166,9430156,9430157
11978946,11978937,11/23/2020 7:00:00 AM,11/23/2020 6:00:00 PM,F,343.000000,100,9429750,9429768,343,9429890,11/23/2020 12:00:00 PM,,100,,,9430150,9430158,9430166,
11978993,11978992,12/9/2020 4:30:00 PM,12/10/2020 5:30:00 PM,I,422.000000,100,9429749,9429764,,,,,100,9429766,,9430149,9430154,9430158,
11979007,11978992,12/11/2020 8:00:00 AM,12/11/2020 5:00:00 PM,F,422.000000,100,9429749,9429764,,,12/11/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979048,11979047,12/17/2020 8:00:00 AM,12/17/2020 10:45:00 AM,I,,0,,9429764,,,,,100,9429766,9429771,9430147,9430151,9430155,9430163
11979097,11979081,11/17/2020 1:45:00 PM,11/17/2020 7:30:00 PM,I,600.000000,70,9429751,9429766,600,9429890,11/19/2020 12:00:00 PM,,100,9429762,,9430147,9430154,,
11979137,11979081,11/18/2020 8:00:00 AM,11/18/2020 5:00:00 PM,U,2000.000000,95,9429751,9429766,3500,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,9430166,9430166,
11979082,11979081,11/19/2020 8:00:00 AM,11/19/2020 6:45:00 PM,U,2800.000000,95,9429750,9429766,3500,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,9430166,9430166,
11979184,11979081,11/20/2020 8:00:00 AM,11/20/2020 5:30:00 PM,U,2800.000000,95,9429750,9429766,3500,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,9430166,,
11979123,11979081,11/21/2020 8:00:00 AM,11/21/2020 3:15:00 PM,U,2800.000000,95,9429750,9429766,3500,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,9430166,,
