INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
4251218,4251067,05/27/2016 18:00:00,05/28/2016 21:00:00,U,3665,0,2989916,2989928,,,07/15/2016 12:00:00,,100,2989936,,2990315,2990322,2990323,2990324
4248315,4248057,07/01/2016 19:00:00,07/02/2016 19:00:00,U,1294,10,2989918,2989928,,2990055,,,,,,,,,
4248345,4248057,07/08/2016 19:00:00,07/09/2016 19:00:00,U,1429,80,2989918,2989928,,2990055,10/01/2016 12:00:00,,100,,,,,,
4249345,4249322,06/09/2016 18:15:00,06/10/2016 17:00:00,U,350,40,2989916,2989929,350,2990055,06/11/2016 12:00:00,,100,2989931,,2990316,,,
4249363,4249322,06/11/2016 07:00:00,06/13/2016 16:00:00,F,178,100,2989914,2989929,350,2990055,06/11/2016 12:00:00,,100,2989931,,2990316,,,
4250224,4249863,06/25/2016 08:00:00,06/25/2016 20:00:00,U,7609,75,2989918,2989930,8000,2990055,07/02/2016 12:00:00,,,,,,,,
4249323,4249322,06/09/2016 17:00:00,06/09/2016 18:30:00,I,400,40,2989916,2989929,550,2990055,06/11/2016 12:00:00,,100,2989931,,2990315,2990324,2990332,
4251193,4251067,06/07/2016 21:00:00,06/08/2016 21:00:00,U,13095,20,2989916,2989928,,,07/15/2016 12:00:00,,100,2989936,,2990315,2990322,2990323,2990324
4249386,4249385,07/28/2015 03:00:00,12/29/2015 02:45:00,F,16703.5,0,2989914,2989928,,,08/01/2015 12:00:00,,0,,,2990316,,,
4249394,4249385,07/18/2015 01:00:00,07/27/2015 23:00:00,U,16466.8,0,2989914,2989928,,,,,0,,,2990316,,,
4250253,4249863,06/24/2016 20:00:00,06/25/2016 08:00:00,U,7609,70,2989918,2989930,8000,2990055,06/28/2016 12:00:00,,,,,,,,
4251241,4251067,06/06/2016 21:00:00,06/06/2016 22:00:00,U,8411,20,2989916,2989928,,,07/15/2016 12:00:00,,100,2989936,,2990315,2990322,2990323,2990324
4251260,4251067,06/04/2016 21:00:00,06/05/2016 21:00:00,U,7928,20,2989916,2989928,,,07/15/2016 12:00:00,,100,2989936,,2990315,2990322,2990323,2990324
4248376,4248057,07/09/2016 19:00:00,07/10/2016 19:00:00,U,1429,90,2989918,2989928,,2990055,10/01/2016 12:00:00,,100,,,2990316,,,
4248405,4248057,06/29/2016 07:00:00,06/29/2016 17:00:00,U,750,5,2989916,2989928,,2990055,07/15/2016 12:00:00,,,,,,,,
4248424,4248057,06/28/2016 08:00:00,06/28/2016 21:00:00,U,631,5,2989916,2989928,,2990055,07/15/2016 12:00:00,,100,,,,,,
4249402,4249385,06/23/2015 21:00:00,07/17/2015 23:00:00,I,16466.8,0,2989914,2989928,,,,,0,2989927,,2990316,2990324,,
4249423,4249422,06/10/2016 19:15:00,06/11/2016 20:00:00,I,350,0,2989916,2989936,400,2990055,06/14/2016 12:00:00,,0,2989929,,2990314,2990317,2990318,
4249440,4249422,06/13/2016 17:00:00,06/14/2016 17:00:00,U,225,90,2989916,2989936,225,2990055,06/15/2016 12:00:00,,100,2989929,,2990316,,,
4249457,4249422,06/14/2016 17:00:00,06/15/2016 17:00:00,F,225,100,2989916,2989936,225,2990055,06/15/2016 12:00:00,,100,2989929,,2990316,,,
