INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
2714467,2714466,2015-05-16 20:30:00,2015-05-17 23:00:00,I,535.5,5,1535970,1535982,535.5,1536109,05/21/2015 12:00:00,,100,,,1536368,1536383,1536386,1536382
2714037,2714022,2015-05-07 11:00:00,2015-05-08 14:00:00,U,275,100,1535970,1535990,,,05/08/2015 12:00:00,,100,,,1536370,,,
2714023,2714022,2015-05-05 09:30:00,2015-05-07 11:00:00,I,150,90,1535970,1535990,,,05/11/2015 12:00:00,,100,1535991,,1536369,1536378,1536375,1536382
2714050,2714022,2015-05-08 11:00:00,2015-05-09 14:00:00,U,275,100,1535969,1535990,275,1536109,05/08/2015 12:00:00,,100,,,1536370,,,
2714066,2714022,2015-05-09 15:00:00,2015-05-11 11:00:00,F,275,100,1535969,1535990,275,1536109,05/08/2015 12:00:00,,100,,,1536370,,,
2714097,2714081,2015-05-07 18:15:00,2015-05-08 14:00:00,U,205,60,1535970,1535985,220,1536109,05/10/2015 12:00:00,,100,,,1536370,1536386,1536378,1536382
2714082,2714081,2015-05-06 20:30:00,2015-05-07 18:00:00,I,205,60,1535970,1535985,220,1536109,05/10/2015 12:00:00,,100,1535983,,1536368,1536375,1536379,1536385
2714111,2714081,2015-05-09 05:00:00,2015-05-10 10:00:00,F,206,100,1535969,1535985,206,1536109,05/09/2015 12:00:00,,100,,,1536370,,,
2714130,2714129,2014-01-23 17:00:00,2014-01-27 19:00:00,F,143,100,,,,,,,100,,,,,,
2714325,2714324,2015-05-17 12:00:00,2015-05-18 06:00:00,I,350,0,1535968,1535987,,,,,100,,,1536369,,,
2714335,2714324,2015-05-25 06:00:00,2015-05-25 17:00:00,U,395,100,1535968,1535987,,,,,100,,,1536370,,,
2714133,2714132,2015-05-06 12:15:00,2015-05-06 20:30:00,F,1.5,100,1535968,1535990,1.5,1536109,05/06/2015 12:00:00,,100,,,1536369,,,
2714175,2714174,2015-05-12 16:30:00,2015-05-13 11:00:00,I,160,50,1535969,1535984,230,1536109,05/14/2015 12:00:00,,100,1535985,1535989,1536368,1536374,1536377,1536375
2714184,2714174,2015-05-13 11:00:00,2015-05-14 15:00:00,F,220,100,1535969,1535989,230,1536109,05/14/2015 12:00:00,,100,1535985,,1536370,,,
2714195,2714194,2015-05-04 13:00:00,2015-05-14 09:00:00,F,2,100,1535968,1535983,2,1536109,,,100,,,1536369,,,
2714216,2714215,2015-04-30 15:00:00,2015-05-01 11:00:00,I,6,100,1535969,1535990,6,1536109,04/30/2015 12:00:00,,0,,,,,,
2714229,2714215,2015-04-30 15:15:00,2015-05-01 11:45:00,F,6,100,1535969,1535990,6,1536109,04/30/2015 12:00:00,,0,,,,,,
2714245,2714244,2015-04-30 14:25:00,2015-05-01 15:00:00,F,3,100,1535969,1535982,3,1536109,05/01/2015 12:00:00,,100,,,1536370,,,
2714295,2714294,2015-05-05 16:45:00,2015-05-05 19:00:00,I,2,100,1535968,1535987,,,,,100,,,1536369,,,
2714306,2714294,2015-05-07 08:00:00,2015-05-07 18:00:00,F,2,100,1535968,1535987,,,,,100,,,1536369,,,
2714378,2714324,2015-05-26 09:00:00,2015-05-26 15:00:00,U,395,100,1535968,1535987,,,,,100,,,1536370,,,
2714389,2714324,2015-05-22 07:00:00,2015-05-22 18:00:00,U,350,100,1535968,1535987,,,,,100,,,1536370,,,
2714399,2714324,2015-05-29 08:00:00,2015-05-29 18:00:00,U,395,100,1535968,1535987,,,,,100,,,1536370,,,
2714345,2714324,2015-05-23 06:00:00,2015-05-23 19:00:00,U,350,100,1535968,1535987,,,,,100,,,1536370,,,
2714356,2714324,2015-05-20 08:00:00,2015-05-20 19:00:00,U,350,100,1535968,1535987,,,,,100,,,1536370,,,
2714367,2714324,2015-05-21 08:00:00,2015-05-21 18:00:00,U,350,100,1535968,1535987,,,,,100,,,1536370,,,
2714410,2714324,2015-05-30 10:00:00,2015-05-30 17:00:00,F,395,100,1535968,1535987,,,,,100,,,1536370,,,
2714420,2714324,2015-05-24 10:00:00,2015-05-24 19:00:00,U,350,100,1535968,1535987,,,,,100,,,1536370,,,
2714432,2714431,2015-05-17 16:00:00,2015-05-17 18:00:00,I,0.1,100,1535968,1535987,,,,,100,,,1536370,,,
2714442,2714431,2015-05-19 09:00:00,2015-05-19 17:00:00,U,0.1,100,1535968,1535987,,,,,100,,,1536370,,,
2714452,2714431,2015-05-19 19:00:00,2015-05-19 20:00:00,F,0.1,100,1535968,1535987,,,,,100,,,1536370,,,
2714481,2714466,2015-05-20 23:00:00,2015-05-21 23:00:00,U,555.5,85,1535970,1535982,555.5,1536109,05/24/2015 12:00:00,,100,,,1536368,1536382,,
2714500,2714466,2015-05-17 23:00:00,2015-05-18 23:00:00,U,555.5,15,1535970,1535982,580.5,1536109,05/22/2015 12:00:00,,100,,,1536368,1536382,1536386,
2714519,2714466,2015-05-19 23:00:00,2015-05-20 23:00:00,U,555.5,75,1535970,1535982,555.5,1536109,05/24/2015 12:00:00,,100,,,1536369,1536382,,
2714539,2714466,2015-05-25 23:00:00,2015-07-29 23:00:00,F,535.4,100,1535970,1535982,556,1536109,05/24/2015 12:00:00,,100,,,1536370,,,
2718157,2718092,2015-05-30 23:00:00,2015-05-31 23:00:00,U,376,0,1535969,1535982,,,,,0,,,1536370,1536386,,
2718168,2718092,2015-05-31 23:00:00,2015-06-18 23:00:00,F,252,0,1535968,1535982,376,1536109,,,0,,,1536370,,,
2718177,2718092,2015-05-31 00:00:00,2015-06-04 23:00:00,U,376,0,1535968,1535982,,,,,0,,,1536370,1536386,,
2718187,2718092,2015-05-30 23:15:00,2015-06-04 23:00:00,U,376,0,1535968,1535982,,,,,0,,,,,,
2718234,2718233,2015-06-03 02:00:00,2015-06-04 02:00:00,I,300,0,1535969,1535981,,,,,0,,,1536368,1536378,1536375,
2718243,2718233,2015-06-06 09:00:00,2015-06-07 01:00:00,U,16621,0,1535970,1535981,,,,,30,,,1536368,1536375,,
2715686,2715639,2015-06-21 00:00:00,2015-06-21 23:00:00,U,19910,0,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536368,1536374,1536385,
2715710,2715639,2015-06-22 23:00:00,2015-06-23 23:00:00,U,29485,8,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536368,1536376,1536377,
2715736,2715639,2015-06-20 23:00:00,2015-06-21 23:00:00,U,19900,10,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536368,1536374,1536375,
2715759,2715639,2015-06-21 23:00:00,2015-06-22 23:00:00,U,24105,8,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536368,1536374,1536385,
2716563,2716513,2015-06-30 01:30:00,2015-07-01 01:30:00,U,26039,0,1535971,1535982,100000,1536109,,,100,1535985,1535981,1536369,1536380,1536376,
2717052,2717051,2015-07-01 09:00:00,2015-07-02 01:00:00,U,81,100,1535970,1535982,,,07/01/2015 12:00:00,,100,,,1536370,1536386,,
2717066,2717051,2015-07-05 09:00:00,2015-07-06 01:30:00,F,81,100,1535970,1535982,81,1536109,07/01/2015 12:00:00,,100,,,1536370,,,
2717077,2717051,2015-07-03 09:00:00,2015-07-04 01:00:00,U,81,100,1535970,1535982,81,1536109,07/01/2015 12:00:00,,100,,,1536370,1536386,,
2717088,2717051,2015-07-04 09:00:00,2015-07-05 01:00:00,U,81,100,1535970,1535982,81,1536109,07/01/2015 12:00:00,,100,,,1536370,1536386,,
2717099,2717051,2015-07-02 09:00:00,2015-07-03 01:00:00,U,81,100,1535970,1535982,81,1536109,07/01/2015 12:00:00,,100,,,1536370,1536386,,
2717112,2717051,2015-06-28 09:00:00,2015-06-29 01:00:00,I,120,20,1535970,1535990,,,06/30/2015 12:00:00,,100,,,1536369,1536381,1536378,
2714548,2714466,2015-05-22 23:00:00,2015-05-23 23:00:00,U,555.5,90,1535970,1535982,556,1536109,05/26/2015 12:00:00,,100,,,1536370,1536386,,
2714568,2714466,2015-05-24 23:00:00,2015-05-25 23:00:00,F,555.5,100,1535970,1535982,556,1536109,05/24/2015 12:00:00,,100,,,1536370,,,
2714577,2714466,2015-05-21 23:00:00,2015-05-22 23:00:00,U,556,90,1535970,1535982,556,1536109,05/24/2015 12:00:00,,100,,,1536370,1536386,1536382,
2715785,2715639,2015-06-25 23:00:00,2015-06-26 23:00:00,U,33497,42,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536369,1536378,1536377,
2715813,2715639,2015-06-23 23:00:00,2015-06-24 23:00:00,U,32425,37,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536369,1536377,1536382,
2715841,2715639,2015-06-26 23:00:00,2015-06-27 23:00:00,U,33633,42,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536369,1536377,1536378,
2715868,2715639,2015-06-19 02:00:00,2015-06-20 09:00:00,U,11241,0,1535970,1535981,25000,1536109,07/10/2015 12:00:00,,25,1535984,,1536369,1536374,,
2716587,2716513,2015-06-28 01:15:00,2015-06-29 01:30:00,U,26000,0,1535971,1535982,100000,1536109,,,100,1535986,1535981,1536369,1536382,1536376,
2716610,2716513,2015-06-27 02:00:00,2015-06-28 01:15:00,U,25000,0,1535971,1535982,100000,1536109,,,100,1535985,1535981,1536369,1536379,1536376,
2717125,2717051,2015-06-30 09:00:00,2015-07-01 01:00:00,U,120,50,1535970,1535990,,,07/01/2015 12:00:00,,100,,,1536369,1536378,,
2717143,2717142,2015-06-26 09:00:00,2015-06-26 19:00:00,F,242,100,1535970,1535981,350,1536109,06/25/2015 12:00:00,,100,,,,,,
2717163,2717142,2015-06-25 13:00:00,2015-06-25 19:00:00,F,242,100,1535970,1535981,242,1536109,06/26/2015 12:00:00,,100,1535985,,1536370,1536386,,
2717185,2717184,2015-06-25 17:00:00,2015-06-27 19:00:00,I,1536,0,1535968,1535990,,,,,0,,,1536368,,,
2717194,2717184,2015-06-25 20:00:00,2015-07-02 15:00:00,F,1536,100,1535968,1535990,,,,,0,,,1536370,,,
2717214,2717213,2015-01-29 12:00:00,2015-01-31 17:00:00,F,3,100,,1535989,,,,,0,,,,,,
2717224,2717223,2015-01-29 18:00:00,2015-01-29 20:00:00,F,1,100,,1535989,,,,,0,,,,,,
2714725,2714724,2015-06-01 09:00:00,2015-06-01 18:00:00,U,550,100,1535968,1535987,,,,,100,,,1536370,,,
2714735,2714724,2015-05-29 08:00:00,2015-05-29 19:00:00,U,550,95,1535968,1535987,,,,,100,,,1536370,,,
2714747,2714724,2015-05-30 07:00:00,2015-05-30 17:00:00,U,550,100,1535968,1535987,,,,,100,,,1536370,,,
2714758,2714724,2015-05-31 07:00:00,2015-05-31 19:00:00,U,550,100,1535968,1535987,,,,,100,,,1536370,,,
2714769,2714724,2015-05-28 13:30:00,2015-05-28 18:00:00,I,350,75,1535968,1535987,,,,,100,,,1536370,,,
2714780,2714724,2015-06-02 09:00:00,2015-06-02 18:00:00,F,550,100,1535968,1535987,,,,,100,,,1536370,,,
2714794,2714793,2014-05-08 20:00:00,2014-05-14 19:00:00,F,3,100,,1535982,3,1536109,03/15/2014 14:00:00,,0,,,,,,
2714808,2714807,2015-06-01 23:00:00,2015-06-02 23:00:00,U,15,0,1535969,1535990,,,06/05/2015 12:00:00,,100,,,1536370,1536386,,
2717233,2717232,2015-01-29 09:00:00,2015-01-31 13:00:00,F,130,100,,1535989,,,,,0,,,,,,
2717241,2717232,2015-02-02 14:00:00,2015-02-03 11:00:00,F,130,100,,1535989,,,,,0,,,,,,
2717250,2717249,2015-01-28 15:00:00,2015-01-30 13:30:00,F,400,100,,1535989,400,1536109,,,0,,,,,,
2717286,2717285,2015-05-24 13:00:00,2015-05-24 19:00:00,I,100,0,1535968,1535987,,,,,100,,,1536370,,,
2714595,2714466,2015-05-23 23:00:00,2015-05-24 23:00:00,U,555.5,100,1535970,1535982,556,1536109,05/24/2015 12:00:00,,100,,,1536370,,,
2714610,2714466,2015-05-18 23:00:00,2015-05-19 23:00:00,U,555.5,60,1535970,1535982,555.5,1536109,05/24/2015 12:00:00,,100,,,1536370,1536382,1536386,
2714630,2714466,2015-06-26 11:00:00,2015-07-30 00:00:00,F,535.4,100,1535970,1535982,535.4,1536109,05/24/2015 12:00:00,,100,,,1536370,,,
2714639,2714466,2015-05-26 00:00:00,2015-07-30 00:00:00,U,535.4,100,1535970,1535982,535.4,1536109,05/24/2015 12:00:00,,100,,,1536370,,,
2714667,2714666,2015-05-27 00:30:00,2015-05-29 23:00:00,I,1,100,1535969,1535982,1,1536109,05/29/2015 12:00:00,,100,1535982,1535982,1536370,1536386,1536386,1536386
2715883,2715639,2015-06-27 23:00:00,2015-06-28 23:00:00,U,33633,42,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536370,1536386,,
2715907,2715639,2015-06-28 23:00:00,2015-06-29 23:00:00,U,33633,42,1535970,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536370,1536386,,
2715923,2715639,2015-06-17 20:00:00,2015-06-18 20:00:00,I,600,0,1535969,1535981,25000,1536109,07/10/2015 12:00:00,,100,,,1536368,1536375,1536376,1536378
2715934,2715639,2015-06-18 20:00:00,2015-06-19 20:00:00,U,2880,0,1535969,1535981,25000,1536109,07/10/2015 12:00:00,,0,1535985,,1536368,,,
2715947,2715639,2015-06-29 23:00:00,2015-07-02 20:00:00,U,33633,60,1535969,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536370,1536386,,
2715963,2715639,2015-07-16 17:00:00,2015-07-23 17:00:00,F,33633,100,1535969,1535981,34000,1536109,07/10/2015 12:00:00,,100,,,1536370,,,
2715973,2715639,2015-07-02 20:00:00,2015-07-09 20:00:00,U,33633,100,1535969,1535981,50000,1536109,07/10/2015 12:00:00,,100,1535984,,1536370,1536386,,
2716630,2716513,2015-07-02 01:30:00,2015-07-02 22:30:00,F,26039,0,1535971,1535982,100000,1536109,,,100,1535985,1535981,1536370,1536376,1536377,1536378
2717297,2717285,2015-05-27 12:00:00,2015-05-27 16:00:00,U,100,0,1535968,1535987,,,,,100,,,1536370,,,
2717307,2717285,2015-05-28 09:00:00,2015-05-28 19:00:00,F,100,100,1535968,1535987,,,,,100,,,1536370,,,
2717317,2717285,2015-05-26 09:00:00,2015-05-26 15:00:00,U,100,0,1535968,1535987,,,,,100,,,1536370,,,
2717328,2717285,2015-05-25 06:00:00,2015-05-25 19:00:00,U,100,0,1535968,1535987,,,,,100,,,1536370,,,
2717339,2717338,2015-05-04 10:00:00,2015-05-06 14:00:00,I,137,100,1535969,1535989,,,,,100,,,1536368,,,
2717348,2717338,2015-05-06 17:00:00,2015-05-08 13:00:00,F,137,100,1535969,1535989,,,,,100,,,1536370,,,
2717365,2717364,2015-03-15 10:45:00,2015-03-15 12:00:00,F,0.1,100,1535968,1535989,,,,,100,,,1536369,1536375,,
2717374,2717373,2015-05-13 06:00:00,2015-05-14 17:00:00,F,4517,20,1535972,1535987,,,,,70,,,1536368,1536375,1536376,1536377
2717399,2717373,2015-05-10 16:00:00,2015-05-11 16:00:00,U,2000,15,1535970,1535987,,,,,80,1535983,1535982,1536368,1536375,1536377,
2714677,2714666,2015-07-15 18:00:00,2015-07-15 19:00:00,F,1,100,1535968,1535982,1,1536109,05/29/2015 12:00:00,,100,,,1536370,,,
2714698,2714697,2015-05-29 19:00:00,2015-06-04 18:00:00,F,748,100,1535969,1535981,748,1536109,05/28/2015 12:00:00,,100,,,1536370,1536386,,
2714707,2714697,2015-05-28 02:00:00,2015-05-29 18:00:00,I,748,100,1535969,1535981,748,1536109,05/28/2015 12:00:00,,100,1535985,,1536370,,,
2714818,2714807,2015-06-03 23:00:00,2015-06-20 23:00:00,F,15,100,1535969,1535990,15,1536109,06/05/2015 12:00:00,,100,,,1536370,,,
2715988,2715987,2015-06-19 02:00:00,2015-06-20 02:00:00,U,488,0,1535971,1535982,,,,,100,,,1536368,1536377,,
2715996,2715987,2015-06-20 00:00:00,2015-06-21 00:00:00,U,488,10,1535971,1535982,488,,06/27/2015 12:00:00,,100,1535985,,1536369,1536381,1536378,
2716008,2715987,2015-06-25 00:00:00,2015-06-26 00:00:00,U,580,45,1535971,1535982,580,1536109,07/15/2015 12:00:00,,100,1535985,,1536370,1536381,1536378,1536386
2716022,2715987,2015-06-23 00:00:00,2015-06-24 00:00:00,U,573,35,1535971,1535982,580,1536109,07/15/2015 12:00:00,,100,1535985,,1536370,1536377,1536378,
2717570,2717529,2015-05-16 10:00:00,2015-05-16 11:00:00,F,43.8,100,1535968,1535987,,,,,100,,,1536370,,,
2717580,2717529,2015-05-10 11:00:00,2015-05-10 19:00:00,U,43.8,80,1535968,1535987,,,,,100,,,1536370,,,
2717591,2717529,2015-05-15 10:00:00,2015-05-15 16:00:00,U,43.8,80,1535968,1535987,,,,,100,,,1536370,,,
2717605,2717604,2015-05-13 06:00:00,2015-05-14 17:00:00,F,215,50,1535972,1535987,,,,,0,,,1536370,1536386,,
2715189,2715180,2014-03-08 14:30:00,2014-03-09 16:00:00,F,160,100,,,,,,,0,,,,,,
2715191,2715190,2014-03-14 17:00:00,2014-03-15 18:45:00,F,189,100,1535968,1535990,,,,,100,,,1536370,,,
2722174,2722163,2015-01-20 14:00:00,2015-01-20 18:00:00,I,0.5,100,,1535981,0.5,1536109,01/20/2015 12:00:00,,0,,,,,,
2716654,2716513,2015-06-21 18:45:00,2015-06-22 18:45:00,I,800,0,1535970,1535982,10000,1536109,,,100,1535981,1535985,1536367,1536371,1536375,1536385
2716676,2716513,2015-06-22 19:00:00,2015-06-25 01:30:00,U,1200,0,1535970,1535982,100000,1536109,,,100,1535985,1535981,1536367,1536371,1536375,1536376
2717420,2717373,2015-05-12 16:00:00,2015-05-13 16:00:00,U,4049,20,1535970,1535987,,,,,70,1535982,1535983,1536368,1536375,1536376,1536377
2717445,2717373,2015-05-12 16:15:00,2015-05-13 16:15:00,U,4049,20,1535970,1535987,,,,,70,,,1536368,1536375,1536376,1536377
2717471,2717373,2015-05-11 16:00:00,2015-05-12 16:00:00,U,2515,15,1535970,1535987,,,,,80,,,1536368,1536375,1536377,
