x,y,lon,lat,nearest_1,sqdist_1,nearest_2,sqdist_2,nearest_3,sqdist_3,nearest_4,sqdist_4
0,0,-119.91359256157533,39.56507721906197,1162419,0.42912714459015033,1164218,6.309263871909961,1162418,8.518460313407015,1162420,11.70934480089618
0,1,-119.91359256157533,39.57377427704132,1164218,2.3366341337863767,1162419,2.4764780112478295,1164217,11.959216842294717,1162418,12.06232150831638
0,2,-119.91359256157533,39.58247133502068,1164218,0.3640043956627937,1162419,6.523828877905509,1164219,8.624291748983666,1164217,11.48363681125894
0,3,-119.91359256157533,39.59116839300003,1164218,0.39137465753921064,1164219,7.156837234417975,1166017,7.459318363215036,1162419,12.571179744563189
0,4,-119.91359256157533,39.59986545097939,1164218,2.4187449194156274,1166017,3.4668977850162666,1164219,7.689382719852285,1166018,8.701713169064371
0,5,-119.91359256157533,39.60856250895874,1166017,1.4744772068174965,1166018,5.213929147412951,1164218,6.446115181292045,1164219,10.221928205286593
0,6,-119.91359256157533,39.617259566938095,1166017,1.4820566286187267,1166018,3.7261451257615312,1167816,9.739729188355442,1167817,11.943519787251855
1,0,-119.90235163205021,39.56507721906197,1162419,0.6420027957913037,1162420,5.88017003149302,1164218,8.023412998611677,1160620,12.508093033420671
1,1,-119.90235163205021,39.57377427704132,1162419,2.689353662448983,1164218,4.050783260488094,1162420,6.433234720142455,1164219,7.7617523409933415
1,2,-119.90235163205021,39.58247133502068,1164218,2.0781535223645107,1164219,4.29429782642765,1162419,6.736704529106663,1162420,8.986299408791888
1,3,-119.90235163205021,39.59116839300003,1164218,2.1055237842409276,1164219,2.8268433118619596,1166017,10.675849487119596,1166018,11.359791294531636
1,4,-119.90235163205021,39.59986545097939,1164219,3.359388797296269,1164218,4.132894046117345,1166018,5.872007272880214,1166017,6.683428908920825
1,5,-119.90235163205021,39.60856250895874,1166018,2.3842232512287946,1166017,4.691008330722055,1164219,5.8919342827305785,1164218,8.160264307993762
1,6,-119.90235163205021,39.617259566938095,1166018,0.8964392295773749,1166017,4.698587752523285,1164219,10.424479768164888,1167817,10.615210298728963
2,0,-119.89111070252508,39.56507721906197,1162420,2.0509952620898613,1162419,2.854878446992457,1164219,10.899212933003016,1164218,11.737562125313392
2,1,-119.89111070252508,39.57377427704132,1162420,2.6040599507392956,1162419,4.902229313650136,1164219,5.431758418437326,1164218,7.764932387189809
2,2,-119.89111070252508,39.58247133502068,1164219,1.9643039038716354,1162420,5.15712463938873,1164218,5.792302649066227,1162419,8.949580180307816
2,3,-119.89111070252508,39.59116839300003,1164219,0.4968493893059449,1164218,5.819672910942644,1162420,9.710189328038165,1166018,10.53008539834748
2,4,-119.89111070252508,39.59986545097939,1164219,1.0293948747402544,1166018,5.042301376696058,1164218,7.84704317281906,1166017,11.899960032825383
2,5,-119.89111070252508,39.60856250895874,1166018,1.5545173550446383,1164219,3.561940360174564,1166017,9.907539454626614,1164218,11.874413434695477
2,6,-119.89111070252508,39.617259566938095,1166018,0.06673333339321852,1164219,8.094485845608874,1166019,9.615945126170821,1166017,9.915118876427844
3,0,-119.87986977299997,39.56507721906197,1162420,0.22182049268670226,1162419,7.067754098193611,1160621,9.120756752961388,1164219,10.569219010447002
3,1,-119.87986977299997,39.57377427704132,1162420,0.7748851813361366,1164219,5.101764495881312,1162419,9.115104964851291,1162421,11.808164274721447
3,2,-119.87986977299997,39.58247133502068,1164219,1.6343099813156208,1162420,3.327949869985571,1164220,11.14381883555796,1164218,11.506451775767943
3,3,-119.87986977299997,39.59116839300003,1164219,0.16685546674993026,1162420,7.881014558635005,1164220,8.18376509113435,1164218,11.53382203764436
3,4,-119.87986977299997,39.59986545097939,1164219,0.6994009521842397,1166018,6.212595480511902,1164220,7.223711346710736,1166019,12.700736104385458
3,5,-119.87986977299997,39.60856250895874,1166018,2.724811458860482,1164219,3.231946437618549,1166019,7.71981496664365,1164220,8.263657602287125
3,6,-119.87986977299997,39.617259566938095,1166018,1.2370274372090622,1166019,4.738893828901842,1164219,7.7644919230528595,1164220,11.303603857863513
4,0,-119.86862884347485,39.56507721906197,1162420,0.3926457232835432,1162421,6.874829828992235,1160621,7.793507116180319,1164219,12.239225087890986
4,1,-119.86862884347485,39.57377427704132,1162420,0.9457104119329776,1162421,5.9358331055228675,1164219,6.771770573325297,1164220,11.728628428921235
4,2,-119.86862884347485,39.58247133502068,1164219,3.304316058759606,1162420,3.498775100582412,1164220,6.768574684497622,1162421,6.9968363820535
4,3,-119.86862884347485,39.59116839300003,1164219,1.8368615441939156,1164220,3.8085209400740108,1162420,8.051839789231847,1162421,10.057839658584133
4,4,-119.86862884347485,39.59986545097939,1164219,2.369407029628225,1164220,2.848467195650399,1166018,9.382889584327744,1166019,9.823684807116479
4,5,-119.86862884347485,39.60856250895874,1164220,3.8884134512267865,1166019,4.842763669374672,1164219,4.9019525150625345,1166018,5.895105562676324
4,6,-119.86862884347485,39.617259566938095,1166019,1.8618425316328637,1166018,4.4073215410249045,1164220,6.928359706803175,1164219,9.434498000496845
5,0,-119.85738791394972,39.56507721906197,1162420,2.563470953880384,1162421,3.0024986597936554,1160621,8.46625747939925,1160622,8.936729025842402
5,1,-119.85738791394972,39.57377427704132,1162421,2.063501936324288,1162420,3.1165356425298185,1164220,9.353384277860897,1164219,10.441776650769283
5,2,-119.85738791394972,39.58247133502068,1162421,3.1245052128549204,1164220,4.393330533437285,1162420,5.669600331179253,1164219,6.974322136203591
5,3,-119.85738791394972,39.59116839300003,1164220,1.4332767890136728,1164219,5.506867621637902,1162421,6.185508489385553,1162420,10.222665019828687
