x,y,lat,lon,TMP:2 m,SPFH:2 m,UGRD:10 m,VGRD:10 m,LTNG,PRATE,PRES:surface,on_fire
0,0,40.63610173791054,-110.94477406761067,284.420463906597,0.004146991956484349,-3.8322061655252355,-0.8538807706730326,0.0,0.0,72939.66201920249,0.0
0,1,40.644797209000046,-110.94477406761067,284.43730834064365,0.004153429127164175,-3.6676177266451515,-1.1890155216833815,0.0,0.0,72781.22996720862,0.0
0,2,40.65349268008955,-110.94477406761067,283.93472290084463,0.004164177221179419,-2.7798322508508,-2.2235742902194913,0.0,0.0,71946.68945436312,0.0
1,0,40.63610173791054,-110.93335828830531,284.5021100231509,0.004113638289313901,-3.323795484821156,-1.7248999960313396,0.0,0.0,72347.69335939434,0.0
1,1,40.644797209000046,-110.93335828830531,284.2712422808415,0.004136540789853717,-3.104686833078973,-2.0302637826828867,0.0,0.0,72026.82315958285,0.0
1,2,40.65349268008955,-110.93335828830531,283.9103007705312,0.0041404399687508765,-2.7102197511036916,-2.3788788163402,0.0,0.0,71564.03765841466,0.0
2,0,40.63610173791054,-110.92194250899996,284.7970464724172,0.004095938491591886,-2.8330719229753702,-2.9232331243681346,0.0,0.0,71695.56356427465,0.0
2,1,40.644797209000046,-110.92194250899996,284.69908883243835,0.004102643224029458,-2.7106316060416487,-3.1680022505978274,0.0,0.0,71404.32256551391,0.8646647167633873
2,2,40.65349268008955,-110.92194250899996,283.97664117608406,0.004118329629243712,-2.567448877691192,-2.747319695986226,0.0,0.0,71160.31824712087,0.8646647167633873
3,0,40.63610173791054,-110.91052672969461,284.97334197062895,0.004098206294916655,-2.620339121358202,-3.2466236020739387,0.0,0.0,71628.11256713231,0.0
3,1,40.644797209000046,-110.91052672969461,284.76597013908025,0.004099675363954743,-2.5672901468985625,-3.465296931970304,0.0,0.0,71247.0483653807,0.950212931632136
3,2,40.65349268008955,-110.91052672969461,284.10972628297674,0.004098550367727007,-2.0922405840200873,-2.759735442221872,0.0,0.0,71169.32181937117,0.8646647167633873
4,0,40.63610173791054,-110.89911095038926,285.0653699708307,0.004056620911196073,-2.5183538833322294,-2.682356156000286,0.0,0.0,72025.16043649832,0.0
4,1,40.644797209000046,-110.89911095038926,284.77626740861166,0.004098638987981189,-2.1926201937762393,-2.6717922217859154,0.0,0.0,71948.35651525886,0.0
4,2,40.65349268008955,-110.89911095038926,284.0938207761631,0.0040979958474238075,-1.633691704972713,-2.1806478884868072,0.0,0.0,71660.08239644369,0.0
