INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
7298964,7298734,2017-07-14 19:00:00,2017-07-15 18:00:00,U,1145.0,60.0,4495899.0,4495910.0,1200,4496037.0,2017-07-21 12:00:00,,100,,,4496297.0,,,
7300582,7300563,2017-07-14 19:00:00,2017-07-15 19:00:00,U,120.0,0.0,4495898.0,4495918.0,1000,4496037.0,2017-10-15 12:00:00,,0,4495910.0,4495916.0,4496296.0,4496307,4496308,4496300
7301167,7301166,2017-07-08 14:00:00,2017-07-09 14:00:00,I,679.0,0.0,4495898.0,4495911.0,,,2017-07-22 12:00:00,,100,4495913.0,,4496296.0,4496302,4496305,
7301177,7301166,2017-07-13 17:00:00,2017-07-27 17:00:00,F,1120.0,100.0,4495896.0,4495911.0,1120,4496037.0,2017-07-21 12:00:00,,100,4495913.0,,4496298.0,,,
7301186,7301166,2017-07-12 16:00:00,2017-07-13 16:00:00,U,1120.0,100.0,4495898.0,4495911.0,1300,4496037.0,2017-07-22 12:00:00,,100,4495913.0,,4496298.0,,,
7301195,7301166,2017-07-11 15:00:00,2017-07-12 15:00:00,U,1120.0,100.0,4495900.0,4495911.0,1300,4496037.0,2017-07-22 12:00:00,,100,4495913.0,,4496298.0,4496306,4496314,4496305
7301878,7301877,2017-07-13 02:00:00,2017-07-13 15:00:00,U,25100.0,75.0,4495897.0,4495911.0,25100,4496037.0,2017-07-14 12:00:00,,100,4495913.0,,4496298.0,4496306,4496314,
7301905,7301877,2017-07-12 02:00:00,2017-07-12 17:00:00,U,25100.0,75.0,4495898.0,4495911.0,25100,4496037.0,2017-07-14 12:00:00,,100,4495913.0,,4496298.0,4496306,4496314,
7301937,7301877,2017-07-11 02:00:00,2017-07-11 18:00:00,U,25100.0,75.0,4495898.0,4495911.0,25100,4496037.0,2017-07-14 12:00:00,,100,4495913.0,,4496298.0,4496314,,
7301970,7301877,2017-07-08 22:40:00,2017-07-09 03:00:00,I,400.0,50.0,4495898.0,4495911.0,400,4496037.0,2017-07-11 12:00:00,,100,4495913.0,,4496296.0,4496303,,
7303013,7302734,2017-10-15 08:00:00,2017-10-15 19:00:00,U,16800.0,0.0,4495898.0,4495918.0,76550,4496037.0,2017-11-27 12:00:00,,0,4495913.0,4495909.0,4496297.0,4496305,4496304,4496309
7303027,7302734,2017-10-18 08:00:00,2017-10-18 19:15:00,U,19050.0,0.0,4495898.0,4495918.0,76550,4496037.0,2017-11-27 12:00:00,,3,4495913.0,4495909.0,4496297.0,,,
7304679,7303780,2017-07-31 20:00:00,2017-08-01 08:00:00,U,1350.0,20.0,4495899.0,4495918.0,5000,4496037.0,2017-08-12 12:00:00,,100,4495916.0,,4496297.0,4496305,,
