x,y,lat,lon,TMP:2 m,SPFH:2 m,UGRD:10 m,VGRD:10 m,LTNG,PRATE,PRES:surface,on_fire
0,0,37.87096238763946,-119.4590685378451,279.1865890927984,0.00209545491462212,-0.838590352627083,2.021703146524383,0.0,0.0,74588.19042203078,0.0
0,1,37.879662005360665,-119.4590685378451,278.6011893441576,0.002141673973891656,0.29957367446696115,0.8632893409575486,0.0,0.0,73572.2602857799,0.0
1,0,37.87096238763946,-119.44809336399996,278.83600017211995,0.0020298591382278105,-1.306292228942471,2.1445745903742024,0.0,0.0,74984.2344839712,0.0
1,1,37.879662005360665,-119.44809336399996,278.1187705415923,0.002164591396752565,0.6251578553851529,1.2621119005331407,0.0,0.0,73546.43813664984,0.0
2,0,37.87096238763946,-119.43711819015482,279.0372442284501,0.0020206397394509877,-1.619036965443234,2.0055568635572465,0.0,0.0,75149.96632051084,0.0
2,1,37.879662005360665,-119.43711819015482,279.3622551212757,0.001971458612563711,-2.4078587266208253,0.2697483768575767,0.0,0.0,75364.91487584508,0.0
